id,tg id,category,summ,date
384,401428352,vit,69,2024-09-26 21:49:03
385,344917183,vit,303,2024-09-26 21:49:30
386,689929118,vit,120,2024-09-26 22:04:02
387,578752920,vit,392,2024-09-26 22:05:05
388,949445554,vit,1,2024-09-26 22:08:27
389,987969893,vit,196,2024-09-26 22:25:09
391,294057781,kfc,20,2024-09-27 04:07:57
